type,id,siteId,name,description,ipAddress,url,username,notes,status
EQUIPMENT,eq-nmp-biz-99,site-boi-nampa,NMP - Computer - IRG-SECURSERVER,IRG-SECURSERVER,10.18.50.99,,,,active
EQUIPMENT,eq-nmp-biz-105,site-boi-nampa,NMP - Computer - KWYD-INTPC,KWYD-INTPC,10.18.50.105,,,,active
EQUIPMENT,eq-nmp-biz-109,site-boi-nampa,NMP - Computer - IMG-SALES-MAINROOM,IMG-SALES-MAINROOM,10.18.50.109,,,,active
EQUIPMENT,eq-nmp-biz-110,site-boi-nampa,NMP - Computer - IMG-TRAFFIC,IMG-TRAFFIC,10.18.50.110,,,,active
EQUIPMENT,eq-nmp-biz-111,site-boi-nampa,NMP - Computer - TRAFFIC-5,TRAFFIC-5,10.18.50.111,,,,active
EQUIPMENT,eq-nmp-biz-117,site-boi-nampa,NMP - Computer - Zabbix Docker (Linux Server),Zabbix Docker (Linux Server),10.18.50.117,,,,active
EQUIPMENT,eq-nmp-biz-120,site-boi-nampa,NMP - Other - BRN30055C447207,BRN30055C447207,10.18.50.120,,,,active
EQUIPMENT,eq-nmp-biz-124,site-boi-nampa,NMP - Computer - IRG_OPS_MAN_PC,IRG_OPS_MAN_PC,10.18.50.124,,,,active
EQUIPMENT,eq-nmp-biz-125,site-boi-nampa,NMP - Computer - IMG-DMS-LAPTOP1,IMG-DMS-LAPTOP1,10.18.50.125,,,,active
EQUIPMENT,eq-nmp-biz-127,site-boi-nampa,NMP - Computer - IRG-NAMPA-GM,IRG-NAMPA-GM,10.18.50.127,,,,active
EQUIPMENT,eq-nmp-biz-143,site-boi-nampa,NMP - Computer - NAMPA-CONF-RM,NAMPA-CONF-RM,10.18.50.143,,,,active
EQUIPMENT,eq-nmp-biz-148,site-boi-nampa,NMP - Computer - IMG-PROD-LT,IMG-PROD-LT,10.18.50.148,,,,active
EQUIPMENT,eq-nmp-biz-155,site-boi-nampa,NMP - Computer - IRG-CEO-PC,IRG-CEO-PC,10.18.50.155,,,,active
EQUIPMENT,eq-nmp-biz-159,site-boi-nampa,NMP - Computer - IRG-PROMO-PC2,IRG-PROMO-PC2,10.18.50.159,,,,active
EQUIPMENT,eq-nmp-biz-161,site-boi-nampa,NMP - Computer - IRG-KWYD-APD,IRG-KWYD-APD,10.18.50.161,,,,active
EQUIPMENT,eq-nmp-biz-163,site-boi-nampa,NMP - Computer - IRG-FRONTDESK,IRG-FRONTDESK,10.18.50.163,,,,active
EQUIPMENT,eq-nmp-biz-172,site-boi-nampa,NMP - Computer - IMG-FRONTDESK,IMG-FRONTDESK,10.18.50.172,,,,active
EQUIPMENT,eq-nmp-biz-175,site-boi-nampa,NMP - Computer - IMG-KQBL-AD,IMG-KQBL-AD,10.18.50.175,,,,active
EQUIPMENT,eq-nmp-biz-177,site-boi-nampa,NMP - Computer - IMG-SALES-15,IMG-SALES-15,10.18.50.177,,,,active
EQUIPMENT,eq-nmp-biz-190,site-boi-nampa,NMP - Computer - IMG-SALES-2,IMG-SALES-2,10.18.50.190,,,,active
EQUIPMENT,eq-nmp-biz-191,site-boi-nampa,NMP - Network - Unifi Temp Network,Unifi Temp Network,10.18.50.191,,,,active
EQUIPMENT,eq-nmp-biz-199,site-boi-nampa,NMP - Computer - IMG-BOI-SALES-2,IMG-BOI-SALES-2,10.18.50.199,,,,active
EQUIPMENT,eq-nmp-biz-201,site-boi-nampa,NMP - Computer - Deer Point PC,Deer Point PC,10.18.50.201,,,,active
EQUIPMENT,eq-nmp-biz-210,site-boi-nampa,NMP - Computer - IRG-OPS-MAN (JAMES),IRG-OPS-MAN (JAMES),10.18.50.210,,,,active
EQUIPMENT,eq-nmp-biz-213,site-boi-nampa,NMP - Computer - IRG-ITDIR,IRG-ITDIR,10.18.50.213,,,,active
EQUIPMENT,eq-nmp-biz-214,site-boi-nampa,NMP - Computer - TRAFFIC-M,TRAFFIC-M,10.18.50.214,,,,active
EQUIPMENT,eq-nmp-biz-215,site-boi-nampa,NMP - Computer - IRG-TRAFFIC3,IRG-TRAFFIC3,10.18.50.215,,,,active
EQUIPMENT,eq-nmp-biz-216,site-boi-nampa,NMP - Computer - Hoff Prod PC,Hoff Prod PC,10.18.50.216,,,,active
EQUIPMENT,eq-nmp-biz-220,site-boi-nampa,NMP - Computer - IRG-ENG-PC2,IRG-ENG-PC2,10.18.50.220,,,,active
EQUIPMENT,eq-nmp-stu-7,site-boi-nampa,NMP - Network - WireGuard,WireGuard,10.18.60.7,,,,active
EQUIPMENT,eq-nmp-stu-11,site-boi-nampa,NMP - Computer - KWYD G-4,KWYD G-4,10.18.60.11,,,,active
EQUIPMENT,eq-nmp-stu-12,site-boi-nampa,NMP - Computer - KNFL G-4,KNFL G-4,10.18.60.12,,,,active
EQUIPMENT,eq-nmp-stu-13,site-boi-nampa,NMP - Computer - KQBL G-4,KQBL G-4,10.18.60.13,,,,active
EQUIPMENT,eq-nmp-stu-14,site-boi-nampa,NMP - Computer - KZMG G-4,KZMG G-4,10.18.60.14,,,,active
EQUIPMENT,eq-nmp-stu-15,site-boi-nampa,NMP - Computer - PROD2 G-4,PROD2 G-4,10.18.60.15,,,,active
EQUIPMENT,eq-nmp-stu-17,site-boi-nampa,NMP - Other - KSRV-FM-RBDS UDP (RDI 20),KSRV-FM-RBDS UDP (RDI 20),10.18.60.17,,,,active
EQUIPMENT,eq-nmp-stu-30,site-boi-nampa,NMP - Network - Studio Gateway,Studio Gateway,10.18.60.30,,,,active
EQUIPMENT,eq-nmp-stu-31,site-boi-nampa,NMP - Network - Xoomlink GATEWAY Deer Pt.,Xoomlink GATEWAY Deer Pt.,10.18.60.31,,,,active
EQUIPMENT,eq-nmp-stu-40,site-boi-nampa,NMP - Audio Processor - vocco 8 kqbl studio,vocco 8 kqbl studio,10.18.60.40,,,,active
EQUIPMENT,eq-nmp-stu-41,site-boi-nampa,NMP - Other - KZMG RBDS (INOVON 730),KZMG RBDS (INOVON 730),10.18.60.41,,,,active
EQUIPMENT,eq-nmp-stu-42,site-boi-nampa,NMP - Other - KQBL RBDS (INOVON 730),KQBL RBDS (INOVON 730),10.18.60.42,,,PORT:1005,active
EQUIPMENT,eq-nmp-stu-43,site-boi-nampa,NMP - Computer - WO-KSRV-HD2,WO-KSRV-HD2,10.18.60.43,,,,active
EQUIPMENT,eq-nmp-stu-44,site-boi-nampa,NMP - Other - KSRV HD2 730 RDS,KSRV HD2 730 RDS,10.18.60.44,,,,active
EQUIPMENT,eq-nmp-stu-50,site-boi-nampa,NMP - Network - DISPATCH NAS,DISPATCH NAS,10.18.60.50,,,,active
EQUIPMENT,eq-nmp-stu-51,site-boi-nampa,NMP - Computer - Josh pc,Josh pc,10.18.60.51,,,,active
EQUIPMENT,eq-nmp-stu-52,site-boi-nampa,NMP - Computer - Cody pc,Cody pc,10.18.60.52,,,,active
EQUIPMENT,eq-nmp-stu-58,site-boi-nampa,NMP - Computer - KQBLFM-PLAYLIST,KQBLFM-PLAYLIST,10.18.60.58,,,,active
EQUIPMENT,eq-nmp-stu-60,site-boi-nampa,NMP - Other - engxpoint,engxpoint,10.18.60.60,,,,active
EQUIPMENT,eq-nmp-stu-61,site-boi-nampa,NMP - Computer - IMG-KZMG-MORN-LT,IMG-KZMG-MORN-LT,10.18.60.61,,,,active
EQUIPMENT,eq-nmp-stu-62,site-boi-nampa,NMP - Computer - engineer-remote,engineer-remote,10.18.60.62,,,,active
EQUIPMENT,eq-nmp-stu-67,site-boi-nampa,NMP - Computer - IAN-PC-2024,IAN-PC-2024,10.18.60.67,,,,active
EQUIPMENT,eq-nmp-stu-68,site-boi-nampa,NMP - Computer - KSRV-ADOBE,KSRV-ADOBE,10.18.60.68,,,,active
EQUIPMENT,eq-nmp-stu-72,site-boi-nampa,NMP - Computer - KZMG-PLAYLISTPC,KZMG-PLAYLISTPC,10.18.60.72,,,,active
EQUIPMENT,eq-nmp-stu-74,site-boi-nampa,NMP - Computer - IMG-TRAFFIC-PROD,IMG-TRAFFIC-PROD,10.18.60.74,,,,active
EQUIPMENT,eq-nmp-stu-75,site-boi-nampa,NMP - Other - SAGE - EAS,SAGE - EAS,10.18.60.75,,,,active
EQUIPMENT,eq-nmp-stu-76,site-boi-nampa,NMP - Other - Barrix (670 link to Twin),Barrix (670 link to Twin),10.18.60.76,,,,active
EQUIPMENT,eq-nmp-stu-81,site-boi-nampa,NMP - Computer - KQBL-HD3 Streaming PC,KQBL-HD3 Streaming PC,10.18.60.81,,,,active
EQUIPMENT,eq-nmp-stu-83,site-boi-nampa,NMP - Other - Multi stream,Multi stream,10.18.60.83,,,,active
EQUIPMENT,eq-nmp-stu-85,site-boi-nampa,NMP - STL - middleton link,middleton link,10.18.60.85,,,,active
EQUIPMENT,eq-nmp-stu-86,site-boi-nampa,NMP - Computer - IMG-PROD-PC1,IMG-PROD-PC1,10.18.60.86,,,,active
EQUIPMENT,eq-nmp-stu-91,site-boi-nampa,NMP - Other - Burk Plus-X,Burk Plus-X,10.18.60.91,,,,active
EQUIPMENT,eq-nmp-stu-92,site-boi-nampa,NMP - Audio Processor - Sound4 processor,Sound4 processor,10.18.60.92,,,,active
EQUIPMENT,eq-nmp-stu-93,site-boi-nampa,NMP - Other - KWYD RBDS,KWYD RBDS,10.18.60.93,,,,active
EQUIPMENT,eq-nmp-stu-94,site-boi-nampa,NMP - Other - Connect One,Connect One,10.18.60.94,,,,active
EQUIPMENT,eq-nmp-stu-95,site-boi-nampa,NMP - Other - antenna switch,antenna switch,10.18.60.95,,,,active
EQUIPMENT,eq-nmp-stu-96,site-boi-nampa,NMP - Exciter - BW exciter,BW exciter,10.18.60.96,,,,active
EQUIPMENT,eq-nmp-stu-97,site-boi-nampa,NMP - Audio Processor - BU processor,BU processor,10.18.60.97,,,,active
EQUIPMENT,eq-nmp-stu-98,site-boi-nampa,NMP - Other - KWYD Power Meter - Transmitter,KWYD Power Meter - Transmitter,10.18.60.98,,,,active
EQUIPMENT,eq-nmp-stu-99,site-boi-nampa,NMP - Other - KWYD Power Meter - Combiner,KWYD Power Meter - Combiner,10.18.60.99,,,,active
EQUIPMENT,eq-nmp-stu-100,site-boi-nampa,NMP - Other - Light controler,Light controler,10.18.60.100,,,,active
EQUIPMENT,eq-nmp-stu-104,site-boi-nampa,NMP - Cameras - cam inside,cam inside,10.18.60.104,,,,active
EQUIPMENT,eq-nmp-stu-105,site-boi-nampa,NMP - Cameras - cam outside,cam outside,10.18.60.105,,,,active
EQUIPMENT,eq-nmp-stu-107,site-boi-nampa,NMP - Other - NRV,NRV,10.18.60.107,,,,active
EQUIPMENT,eq-nmp-stu-108,site-boi-nampa,NMP - Other - ATS 32,ATS 32,10.18.60.108,,,,active
EQUIPMENT,eq-nmp-stu-109,site-boi-nampa,NMP - Computer - IRG-SECURSERVER,IRG-SECURSERVER,10.18.60.109,,,,active
EQUIPMENT,eq-nmp-stu-113,site-boi-nampa,NMP - Other - Flexiva,Flexiva,10.18.60.113,,,,active
EQUIPMENT,eq-nmp-stu-117,site-boi-nampa,NMP - Other - RDI 20,RDI 20,10.18.60.117,,,,active
EQUIPMENT,eq-nmp-stu-119,site-boi-nampa,NMP - Computer - TRAFFIC-5,TRAFFIC-5,10.18.60.119,,,,active
EQUIPMENT,eq-nmp-stu-120,site-boi-nampa,NMP - Network - Switch 0 Nampa,Switch 0 Nampa,10.18.60.120,,,,active
EQUIPMENT,eq-nmp-stu-121,site-boi-nampa,NMP - Network - Switch 1 Nampa,Switch 1 Nampa,10.18.60.121,,,,active
EQUIPMENT,eq-nmp-stu-122,site-boi-nampa,NMP - Network - Switch 2 Nampa,Switch 2 Nampa,10.18.60.122,,,,active
EQUIPMENT,eq-nmp-stu-123,site-boi-nampa,NMP - Network - Switch 3 Deer Pt,Switch 3 Deer Pt,10.18.60.123,,,,active
EQUIPMENT,eq-nmp-stu-124,site-boi-nampa,NMP - Network - Switch 4 Deer Pt,Switch 4 Deer Pt,10.18.60.124,,,,active
EQUIPMENT,eq-nmp-stu-125,site-boi-nampa,NMP - Network - Switch 5 (POE) Hoff,Switch 5 (POE) Hoff,10.18.60.125,,,,active
EQUIPMENT,eq-nmp-stu-126,site-boi-nampa,NMP - Network - Switch 6 (POE) Hoff,Switch 6 (POE) Hoff,10.18.60.126,,,,active
EQUIPMENT,eq-nmp-stu-127,site-boi-nampa,NMP - Network - Switch 7 Hoff Prod,Switch 7 Hoff Prod,10.18.60.127,,,,active
EQUIPMENT,eq-nmp-stu-128,site-boi-nampa,NMP - Network - Switch 8 Middleton,Switch 8 Middleton,10.18.60.128,,,,active
EQUIPMENT,eq-nmp-stu-129,site-boi-nampa,NMP - Network - Deer Netgear,Deer Netgear,10.18.60.129,,,,active
EQUIPMENT,eq-nmp-stu-135,site-boi-nampa,NMP - Other - BROTHER Printer,BROTHER Printer,10.18.60.135,,,,active
EQUIPMENT,eq-nmp-stu-141,site-boi-nampa,NMP - Other - HD MOD mon,HD MOD mon,10.18.60.141,,,,active
EQUIPMENT,eq-nmp-stu-142,site-boi-nampa,NMP - Other - Burk ARC-16,Burk ARC-16,10.18.60.142,,,,active
EQUIPMENT,eq-nmp-stu-143,site-boi-nampa,NMP - Other - ARCPlus,ARCPlus,10.18.60.143,,,,active
EQUIPMENT,eq-nmp-stu-144,site-boi-nampa,NMP - Computer - IRG-CALLSCR,IRG-CALLSCR,10.18.60.144,,,,active
EQUIPMENT,eq-nmp-stu-145,site-boi-nampa,NMP - STL - BRIC LINK,BRIC LINK,10.18.60.145,,,port 8080,active
EQUIPMENT,eq-nmp-stu-146,site-boi-nampa,NMP - STL - BRIC LINK,BRIC LINK,10.18.60.146,,,port 8087,active
EQUIPMENT,eq-nmp-stu-147,site-boi-nampa,NMP - Other - ESPN XDS1,ESPN XDS1,10.18.60.147,,,,active
EQUIPMENT,eq-nmp-stu-148,site-boi-nampa,NMP - Other - Flexiva,Flexiva,10.18.60.148,,,,active
EQUIPMENT,eq-nmp-stu-149,site-boi-nampa,NMP - Other - ESPN XDS2,ESPN XDS2,10.18.60.149,,,,active
EQUIPMENT,eq-nmp-stu-150,site-boi-nampa,NMP - Other - Premiere XDS1,Premiere XDS1,10.18.60.150,,,,active
EQUIPMENT,eq-nmp-stu-151,site-boi-nampa,NMP - Other - Premiere XDS2,Premiere XDS2,10.18.60.151,,,,active
EQUIPMENT,eq-nmp-stu-160,site-boi-nampa,NMP - Network - BRIDGE ROUTER,BRIDGE ROUTER,10.18.60.160,,,,active
EQUIPMENT,eq-nmp-stu-161,site-boi-nampa,NMP - Other - KKOO RDS,KKOO RDS,10.18.60.161,,,,active
EQUIPMENT,eq-nmp-stu-163,site-boi-nampa,NMP - Computer - BOI-INGEST-SVR,BOI-INGEST-SVR,10.18.60.163,,,,active
EQUIPMENT,eq-nmp-stu-164,site-boi-nampa,NMP - Other - Inovonics aaron 650,Inovonics aaron 650,10.18.60.164,,,,active
EQUIPMENT,eq-nmp-stu-165,site-boi-nampa,NMP - Computer - Silence sense PC,Silence sense PC,10.18.60.165,,,,active
EQUIPMENT,eq-nmp-stu-166,site-boi-nampa,NMP - Network - Barrix (Nampa),Barrix (Nampa),10.18.60.166,,,,active
EQUIPMENT,eq-nmp-stu-167,site-boi-nampa,NMP - Network - Barrix (Hoff),Barrix (Hoff),10.18.60.167,,,,active
EQUIPMENT,eq-nmp-stu-168,site-boi-nampa,NMP - STL - DragonWave IP Link,DragonWave IP Link,10.18.60.168,,,,active
EQUIPMENT,eq-nmp-stu-169,site-boi-nampa,NMP - STL - DragonWave IP Link,DragonWave IP Link,10.18.60.169,,,,active
EQUIPMENT,eq-nmp-stu-170,site-boi-nampa,NMP - Computer - WO-BOI-CS,WO-BOI-CS,10.18.60.170,,,,active
EQUIPMENT,eq-nmp-stu-171,site-boi-nampa,NMP - Computer - WO-BOI-PR2,WO-BOI-PR2,10.18.60.171,,,,active
EQUIPMENT,eq-nmp-stu-172,site-boi-nampa,NMP - Computer - WO-KQBL-FM,WO-KQBL-FM,10.18.60.172,,,,active
EQUIPMENT,eq-nmp-stu-173,site-boi-nampa,NMP - Computer - WO-KQBL-HD3,WO-KQBL-HD3,10.18.60.173,,,,active
EQUIPMENT,eq-nmp-stu-174,site-boi-nampa,NMP - Computer - WO-KZMG-FM,WO-KZMG-FM,10.18.60.174,,,,active
EQUIPMENT,eq-nmp-stu-175,site-boi-nampa,NMP - Computer - WO-KSRV-FM,WO-KSRV-FM,10.18.60.175,,,,active
EQUIPMENT,eq-nmp-stu-176,site-boi-nampa,NMP - Computer - WO-KKOO-AM,WO-KKOO-AM,10.18.60.176,,,,active
EQUIPMENT,eq-nmp-stu-177,site-boi-nampa,NMP - Computer - WO-KWYD-FM,WO-KWYD-FM,10.18.60.177,,,,active
EQUIPMENT,eq-nmp-stu-178,site-boi-nampa,NMP - Computer - WO-KQBL-HD2,WO-KQBL-HD2,10.18.60.178,,,,active
EQUIPMENT,eq-nmp-stu-179,site-boi-nampa,NMP - Computer - WO-KSRV-HD2,WO-KSRV-HD2,10.18.60.179,,,,active
EQUIPMENT,eq-nmp-stu-180,site-boi-nampa,NMP - Computer - NEW WO-BOI-CS,NEW WO-BOI-CS,10.18.60.180,,,,active
EQUIPMENT,eq-nmp-stu-181,site-boi-nampa,NMP - Computer - WO-BOI-RS1A,WO-BOI-RS1A,10.18.60.181,,,,active
EQUIPMENT,eq-nmp-stu-182,site-boi-nampa,NMP - Computer - WO-BOI-RS1B,WO-BOI-RS1B,10.18.60.182,,,,active
EQUIPMENT,eq-nmp-stu-183,site-boi-nampa,NMP - Computer - WO-BOI-RS2A,WO-BOI-RS2A,10.18.60.183,,,,active
EQUIPMENT,eq-nmp-stu-184,site-boi-nampa,NMP - Computer - FUTURE WO-BOI-RS2B,FUTURE WO-BOI-RS2B,10.18.60.184,,,,active
EQUIPMENT,eq-nmp-stu-185,site-boi-nampa,NMP - Computer - WO-BOI-RC1,WO-BOI-RC1,10.18.60.185,,,,active
EQUIPMENT,eq-nmp-stu-186,site-boi-nampa,NMP - Computer - WO-BOI-RC2,WO-BOI-RC2,10.18.60.186,,,,active
EQUIPMENT,eq-nmp-stu-187,site-boi-nampa,NMP - Computer - WO-BOI-RC3,WO-BOI-RC3,10.18.60.187,,,,active
EQUIPMENT,eq-nmp-stu-188,site-boi-nampa,NMP - Computer - WO-BOI-RC4,WO-BOI-RC4,10.18.60.188,,,,active
EQUIPMENT,eq-nmp-stu-189,site-boi-nampa,NMP - Computer - WO-BOI-RC5,WO-BOI-RC5,10.18.60.189,,,,active
EQUIPMENT,eq-nmp-stu-190,site-boi-nampa,NMP - Computer - WO-PAD,WO-PAD,10.18.60.190,,,,active
EQUIPMENT,eq-nmp-stu-191,site-boi-nampa,NMP - Computer - BOI-Autopilot,BOI-Autopilot,10.18.60.191,,,,active
EQUIPMENT,eq-nmp-stu-192,site-boi-nampa,NMP - Computer - BOI-PROFILER,BOI-PROFILER,10.18.60.192,,,,active
EQUIPMENT,eq-nmp-stu-193,site-boi-nampa,NMP - Other - IRG-iProfiler card2,IRG-iProfiler card2,10.18.60.193,,,,active
EQUIPMENT,eq-nmp-stu-194,site-boi-nampa,NMP - Audio Processor - Wheatstone M-2,Wheatstone M-2,10.18.60.194,,,,active
EQUIPMENT,eq-nmp-stu-195,site-boi-nampa,NMP - Audio Processor - Voco8 mic processor,Voco8 mic processor,10.18.60.195,,,,active
EQUIPMENT,eq-nmp-stu-196,site-boi-nampa,NMP - STL - Telos Zip-1 studio 96.5,Telos Zip-1 studio 96.5,10.18.60.196,,,,active
EQUIPMENT,eq-nmp-stu-197,site-boi-nampa,NMP - STL - Telos Zip-2 studio 99.1/101.5,Telos Zip-2 studio 99.1/101.5,10.18.60.197,,,,active
EQUIPMENT,eq-nmp-stu-198,site-boi-nampa,NMP - STL - Telos Zip-5 studio 106.3/99.9,Telos Zip-5 studio 106.3/99.9,10.18.60.198,,,,active
EQUIPMENT,eq-nmp-stu-201,site-boi-nampa,NMP - Computer - IRG-DEERPOINT-PC,IRG-DEERPOINT-PC,10.18.60.201,,,,active
EQUIPMENT,eq-nmp-stu-202,site-boi-nampa,NMP - Computer - KSRV importer/exporter,KSRV importer/exporter,10.18.60.202,,,,active
EQUIPMENT,eq-nmp-stu-203,site-boi-nampa,NMP - Audio Processor - 99.9 OMNIA 6,99.9 OMNIA 6,10.18.60.203,,,,active
EQUIPMENT,eq-nmp-stu-204,site-boi-nampa,NMP - Transmitter - 99.9 FAX 1K,99.9 FAX 1K,10.18.60.204,,,,active
EQUIPMENT,eq-nmp-stu-205,site-boi-nampa,NMP - Other - Deer Point IP Reboot 1 (KSRV rack),Deer Point IP Reboot 1 (KSRV rack),10.18.60.205,,,,active
EQUIPMENT,eq-nmp-stu-206,site-boi-nampa,NMP - Power - AC Power Sentinal 2 Plus IP,AC Power Sentinal 2 Plus IP,10.18.60.206,,,,active
EQUIPMENT,eq-nmp-stu-207,site-boi-nampa,NMP - Transmitter - BW 99.1 Transmitter,BW 99.1 Transmitter,10.18.60.207,,,,active
EQUIPMENT,eq-nmp-stu-208,site-boi-nampa,NMP - Exciter - KSRV Exciter (Deerpoint),KSRV Exciter (Deerpoint),10.18.60.208,,,,active
EQUIPMENT,eq-nmp-stu-209,site-boi-nampa,NMP - Computer - KZMG HD-Importer,KZMG HD-Importer,10.18.60.209,,,,active
EQUIPMENT,eq-nmp-stu-210,site-boi-nampa,NMP - Transmitter - KQBL FAX 30,KQBL FAX 30,10.18.60.210,,,,active
EQUIPMENT,eq-nmp-stu-211,site-boi-nampa,NMP - Transmitter - KSRV-FM FAX 3K,KSRV-FM FAX 3K,10.18.60.211,,,,active
EQUIPMENT,eq-nmp-stu-212,site-boi-nampa,NMP - Transmitter - KZMG FAX 3K,KZMG FAX 3K,10.18.60.212,,,,active
EQUIPMENT,eq-nmp-stu-213,site-boi-nampa,NMP - Transmitter - KQBL FAX 3K,KQBL FAX 3K,10.18.60.213,,,,active
EQUIPMENT,eq-nmp-stu-214,site-boi-nampa,NMP - Transmitter - K224EP FAX 500,K224EP FAX 500,10.18.60.214,,,,active
EQUIPMENT,eq-nmp-stu-215,site-boi-nampa,NMP - Transmitter - K243BM FAX 300,K243BM FAX 300,10.18.60.215,,,,active
